OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,Category,SubCategory,ProductName,Sales,DaysToShip,OrderYear,OrderMonth,OrderQuarter,OrderYearMonth,OrderWeekOfYear,OrderMonthName,OrderIsWeekendOrder,ShipYear,ShipMonth,ShipQuarter,ShipYearMonth,ShipWeekOfYear,ShipMonthName,ShipIsWeekendShip
ca-2017-152156,2017-11-08,2017-11-11,second class,cg-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,bush somerset collection bookcase,261.96,3,2017,11,4,2017-11,45,November,False,2017,11,4,2017-11,45,November,True
ca-2017-152156,2017-11-08,2017-11-11,second class,cg-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,FUR-CH-10000454,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,3,2017,11,4,2017-11,45,November,False,2017,11,4,2017-11,45,November,True
ca-2017-138688,2017-06-12,2017-06-16,second class,dv-13045,darrin van huff,corporate,united states,los angeles,california,90036,west,OFF-LA-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62,4,2017,6,2,2017-06,24,June,False,2017,6,2,2017-06,24,June,False
us-2016-108966,2016-10-11,2016-10-18,standard class,so-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,FUR-TA-10000577,furniture,tables,bretford cr4500 series slim rectangular table,957.5775,7,2016,10,4,2016-10,41,October,False,2016,10,4,2016-10,42,October,False
us-2016-108966,2016-10-11,2016-10-18,standard class,so-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,OFF-ST-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368,7,2016,10,4,2016-10,41,October,False,2016,10,4,2016-10,42,October,False
ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,FUR-FU-10001487,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86,5,2015,6,2,2015-06,24,June,False,2015,6,2,2015-06,24,June,True
ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-AR-10002833,office supplies,art,newell 322,7.28,5,2015,6,2,2015-06,24,June,False,2015,6,2,2015-06,24,June,True
ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,TEC-PH-10002275,technology,phones,mitel 5320 ip phone voip phone,907.152,5,2015,6,2,2015-06,24,June,False,2015,6,2,2015-06,24,June,True
ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-BI-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504,5,2015,6,2,2015-06,24,June,False,2015,6,2,2015-06,24,June,True
ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-AP-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9,5,2015,6,2,2015-06,24,June,False,2015,6,2,2015-06,24,June,True
ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,FUR-TA-10001539,furniture,tables,chromcraft rectangular conference tables,1706.184,5,2015,6,2,2015-06,24,June,False,2015,6,2,2015-06,24,June,True
ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,TEC-PH-10002033,technology,phones,konftel 250 conference phone - charcoal black,911.424,5,2015,6,2,2015-06,24,June,False,2015,6,2,2015-06,24,June,True
ca-2018-114412,2018-04-15,2018-04-20,standard class,aa-10480,andrew allen,consumer,united states,concord,north carolina,28027,south,OFF-PA-10002365,office supplies,paper,xerox 1967,15.552,5,2018,4,2,2018-04,15,April,True,2018,4,2,2018-04,16,April,False
ca-2017-161389,2017-12-05,2017-12-10,standard class,im-15070,irene maddox,consumer,united states,seattle,washington,98103,west,OFF-BI-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976,5,2017,12,4,2017-12,49,December,False,2017,12,4,2017-12,49,December,True
us-2016-118983,2016-11-22,2016-11-26,standard class,hp-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,OFF-AP-10002311,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81,4,2016,11,4,2016-11,47,November,False,2016,11,4,2016-11,47,November,True
us-2016-118983,2016-11-22,2016-11-26,standard class,hp-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,OFF-BI-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544,4,2016,11,4,2016-11,47,November,False,2016,11,4,2016-11,47,November,True
ca-2015-105893,2015-11-11,2015-11-18,standard class,pk-19075,pete kriz,consumer,united states,madison,wisconsin,53711,central,OFF-ST-10004186,office supplies,storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88,7,2015,11,4,2015-11,46,November,False,2015,11,4,2015-11,47,November,False
